GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BootStrap,com.practo.om.bidsystem.configurations,TransactionInterceptor,21,3,4,0,4,1,3,1,1,1
BootStrap,com.practo.om.bidsystem.configurations,DatabaseConfig,77,10,0,0,18,3,3,2,3,2
BootStrap,com.practo.om.bidsystem.services,ItemServiceImp,122,129,5,5,25,32,7,10,4,8
BootStrap,com.practo.om.bidsystem.services,BidServiceImp,61,200,4,10,13,45,5,12,1,9
BootStrap,com.practo.om.bidsystem.services,UserServiceImp,5,37,1,1,1,11,1,5,0,5
BootStrap,com.practo.om.bidsystem,Application,14,3,0,0,3,1,2,1,2,1
BootStrap,com.practo.om.bidsystem.entities,Item,57,93,0,0,17,39,2,25,2,25
BootStrap,com.practo.om.bidsystem.entities,User,69,76,0,0,13,21,2,10,2,10
BootStrap,com.practo.om.bidsystem.entities,Wallet,33,6,0,0,15,3,7,2,7,2
BootStrap,com.practo.om.bidsystem.entities,Category,0,35,0,0,0,12,0,6,0,6
BootStrap,com.practo.om.bidsystem.entities,Bid,27,52,0,0,11,23,2,15,2,15
BootStrap,com.practo.om.bidsystem.models,BidModel,27,53,0,0,9,25,9,14,9,14
BootStrap,com.practo.om.bidsystem.models,MakeBidModel,0,17,0,0,0,7,0,5,0,5
BootStrap,com.practo.om.bidsystem.models,ItemModel,10,49,0,0,4,21,3,14,3,14
BootStrap,com.practo.om.bidsystem.models,ResultModel,45,0,0,0,19,0,13,0,13,0
BootStrap,com.practo.om.bidsystem.models,UserModel,47,0,0,0,19,0,10,0,10,0
BootStrap,com.practo.om.bidsystem.utilities,MappingUtility,23,241,8,8,5,59,7,9,1,7
BootStrap,com.practo.om.bidsystem.utilities,Logger,16,23,0,0,6,8,3,4,3,4
BootStrap,com.practo.om.bidsystem.dao,BidDaoImp,159,63,6,0,42,17,5,8,2,8
BootStrap,com.practo.om.bidsystem.dao,ItemDaoImp,85,43,0,0,21,10,4,6,4,6
BootStrap,com.practo.om.bidsystem.dao,CategoryDaoImp,0,27,0,0,0,6,0,5,0,5
BootStrap,com.practo.om.bidsystem.dao,UserDaoImp,0,37,0,0,0,8,0,6,0,6
BootStrap,com.practo.om.bidsystem.controllers,UserController,10,3,0,0,2,1,2,1,2,1
BootStrap,com.practo.om.bidsystem.controllers,MainController,56,43,6,0,16,4,5,2,2,2
BootStrap,com.practo.om.bidsystem.controllers,ItemController,109,3,2,0,26,1,9,1,8,1
BootStrap,com.practo.om.bidsystem.controllers,BidController,86,3,0,0,23,1,8,1,8,1
